
== L5.gate_proj (2048, 4096)
    arm                                              bpp       wt      out   o_bf16   o_fp16       a4       a8     s
    EXL3 K=4                                      4.0117  0.08816  0.07237  0.07238  0.07237  0.11671  0.07672     0
    EXL3 K=5                                      5.0117  0.04482  0.03674  0.03677  0.03674  0.09877  0.04470     0
    EXL3 K=6                                      6.0117  0.02294  0.01877  0.01883  0.01877  0.09360  0.03166     0
    EXL3 K=8                                      8.0117  0.00623  0.00511  0.00531  0.00511  0.09184  0.02602     0
    FP8 RTN per-channel LS-refit (E4M3 floor)     8.0078  0.01908  0.01844  0.01848  0.01844  0.09352  0.03147     0
    E4M3 window q960 L=14                         3.7702  0.09085  0.08747  0.08749  0.08747  0.12645  0.09107     6
    E4M3 window q1216 L=14                        4.7703  0.04687  0.04518  0.04520  0.04518  0.10211  0.05188     8
    E4M3 window q1024 L=14                        4.0203  0.06966  0.06689  0.06691  0.06689  0.11328  0.07158     5
    E4M3 window q1280 L=14                        5.0203  0.03618  0.03497  0.03501  0.03497  0.09806  0.04328    10
    E4M3 window q1536 L=14                        6.0203  0.02394  0.02309  0.02319  0.02310  0.09454  0.03439    16
    E4M3 window q1792 L=14                        7.0203  0.02302  0.02218  0.02229  0.02218  0.09432  0.03379    33
    E4M3 window q2048 L=14                        8.0203  0.02299  0.02217  0.02227  0.02217  0.09432  0.03378  3247
    [parity] encode_unit == wire on L5.gate_proj q1024 L=14: True
    BF16 window q1024 L=14                        4.0359  0.06942  0.06692  0.06693  0.06692  0.11334  0.07159    19
    BF16 window q1280 L=14                        5.0359  0.03572  0.03445  0.03448  0.03445  0.09785  0.04286    31
    BF16 window q1536 L=14                        6.0359  0.01859  0.01789  0.01794  0.01789  0.09342  0.03115    51
    BF16 window q1792 L=14                        7.0359  0.00973  0.00937  0.00949  0.00937  0.09218  0.02716    60
    BF16 window q2048 L=14                        8.0359  0.00531  0.00512  0.00533  0.00512  0.09183  0.02602  2657

== L5.up_proj (2048, 4096)
    arm                                              bpp       wt      out   o_bf16   o_fp16       a4       a8     s
    EXL3 K=4                                      4.0117  0.08816  0.07465  0.07467  0.07465  0.12055  0.07915     0
    EXL3 K=5                                      5.0117  0.04483  0.03800  0.03804  0.03800  0.10204  0.04623     0
    EXL3 K=6                                      6.0117  0.02295  0.01944  0.01950  0.01944  0.09674  0.03276     0
    EXL3 K=8                                      8.0117  0.00617  0.00523  0.00543  0.00523  0.09489  0.02689     0
    FP8 RTN per-channel LS-refit (E4M3 floor)     8.0078  0.01937  0.01922  0.01927  0.01922  0.09666  0.03265     0
    E4M3 window q960 L=14                         3.7702  0.09084  0.09083  0.09084  0.09083  0.13097  0.09457    12
    E4M3 window q1216 L=14                        4.7703  0.04683  0.04656  0.04658  0.04657  0.10553  0.05352    17
    E4M3 window q1024 L=14                        4.0203  0.06963  0.06933  0.06934  0.06933  0.11724  0.07417    11
    E4M3 window q1280 L=14                        5.0203  0.03608  0.03589  0.03592  0.03589  0.10128  0.04453    20
    E4M3 window q1536 L=14                        6.0203  0.02383  0.02379  0.02387  0.02379  0.09768  0.03552    37
    E4M3 window q1792 L=14                        7.0203  0.02291  0.02286  0.02293  0.02286  0.09746  0.03490    59
