
== L5.gate_proj (2048, 4096)
    arm                                              bpp       wt      out   o_bf16   o_fp16       a4       a8     s
    EXL3 K=4                                      4.0117  0.08816  0.07237  0.07238  0.07237  0.11671  0.07672     0
    EXL3 K=5                                      5.0117  0.04482  0.03674  0.03677  0.03674  0.09877  0.04470     0
    EXL3 K=6                                      6.0117  0.02294  0.01877  0.01883  0.01877  0.09360  0.03166     0
    EXL3 K=8                                      8.0117  0.00623  0.00511  0.00531  0.00511  0.09184  0.02602     0
    FP8 RTN per-channel LS-refit (E4M3 floor)     8.0078  0.01908  0.01844  0.01848  0.01844  0.09352  0.03147     0
    E4M3 window q960 L=14                         3.7702  0.09085  0.08747  0.08749  0.08747  0.12645  0.09107    15
    E4M3 window q1216 L=14                        4.7703  0.04687  0.04518  0.04520  0.04518  0.10211  0.05188    25
    E4M3 window q1024 L=14                        4.0203  0.06966  0.06689  0.06691  0.06689  0.11328  0.07158    13
    E4M3 window q1280 L=14                        5.0203  0.03618  0.03497  0.03501  0.03497  0.09806  0.04328    26
    E4M3 window q1536 L=14                        6.0203  0.02394  0.02309  0.02319  0.02310  0.09454  0.03439    44
    E4M3 window q1792 L=14                        7.0203  0.02302  0.02218  0.02229  0.02218  0.09432  0.03379    82
    BF16 window q1024 L=14                        4.0359  0.06942  0.06692  0.06693  0.06692  0.11334  0.07159    14
    BF16 window q1280 L=14                        5.0359  0.03572  0.03445  0.03448  0.03445  0.09785  0.04286    27
    BF16 window q1536 L=14                        6.0359  0.01859  0.01789  0.01794  0.01789  0.09342  0.03115    50
    BF16 window q1792 L=14                        7.0359  0.00973  0.00937  0.00949  0.00937  0.09218  0.02716    80

== L5.up_proj (2048, 4096)
    arm                                              bpp       wt      out   o_bf16   o_fp16       a4       a8     s
    EXL3 K=4                                      4.0117  0.08816  0.07465  0.07467  0.07465  0.12055  0.07915     0
    EXL3 K=5                                      5.0117  0.04483  0.03800  0.03804  0.03800  0.10204  0.04623     0
    EXL3 K=6                                      6.0117  0.02295  0.01944  0.01950  0.01944  0.09674  0.03276     0
    EXL3 K=8                                      8.0117  0.00617  0.00523  0.00543  0.00523  0.09489  0.02689     0
    FP8 RTN per-channel LS-refit (E4M3 floor)     8.0078  0.01937  0.01922  0.01927  0.01922  0.09666  0.03265     0
    E4M3 window q960 L=14                         3.7702  0.09084  0.09083  0.09084  0.09083  0.13097  0.09457    16
    E4M3 window q1216 L=14                        4.7703  0.04683  0.04656  0.04658  0.04657  0.10553  0.05352    21
    E4M3 window q1024 L=14                        4.0203  0.06963  0.06933  0.06934  0.06933  0.11724  0.07417    13
    E4M3 window q1280 L=14                        5.0203  0.03608  0.03589  0.03592  0.03589  0.10128  0.04453    26
    E4M3 window q1536 L=14                        6.0203  0.02383  0.02379  0.02387  0.02379  0.09768  0.03552    42
    E4M3 window q1792 L=14                        7.0203  0.02291  0.02286  0.02293  0.02286  0.09746  0.03490    72
    BF16 window q1024 L=14                        4.0359  0.06943  0.06949  0.06951  0.06949  0.11732  0.07430    15
    BF16 window q1280 L=14                        5.0359  0.03571  0.03556  0.03558  0.03555  0.10115  0.04423    22
    BF16 window q1536 L=14                        6.0359  0.01856  0.01842  0.01849  0.01842  0.09649  0.03218    40
    BF16 window q1792 L=14                        7.0359  0.00970  0.00963  0.00975  0.00963  0.09522  0.02809    75

== L20.gate_proj (2048, 4096)
    arm                                              bpp       wt      out   o_bf16   o_fp16       a4       a8     s
    EXL3 K=4                                      4.0117  0.08495  0.06925  0.06927  0.06925  0.11155  0.07340     0
    EXL3 K=5                                      5.0117  0.04317  0.03530  0.03532  0.03530  0.09450  0.04289     0
    EXL3 K=6                                      6.0117  0.02211  0.01799  0.01806  0.01799  0.08952  0.03034     0
    EXL3 K=8                                      8.0117  0.00608  0.00495  0.00514  0.00495  0.08783  0.02490     0
    FP8 RTN per-channel LS-refit (E4M3 floor)     8.0078  0.02130  0.01959  0.01963  0.01959  0.08983  0.03127     0
    E4M3 window q960 L=14                         3.7702  0.09051  0.08342  0.08343  0.08342  0.12082  0.08690    14
    E4M3 window q1216 L=14                        4.7703  0.04652  0.04284  0.04287  0.04284  0.09755  0.04932    28
    E4M3 window q1024 L=14                        4.0203  0.06932  0.06383  0.06385  0.06383  0.10832  0.06833    15
    E4M3 window q1280 L=14                        5.0203  0.03561  0.03284  0.03287  0.03284  0.09356  0.04093    23
    E4M3 window q1536 L=14                        6.0203  0.02281  0.02099  0.02098  0.02098  0.09017  0.03220    42
    E4M3 window q1792 L=14                        7.0203  0.02185  0.02004  0.02003  0.02003  0.08995  0.03160    79
    BF16 window q1024 L=14                        4.0359  0.06923  0.06391  0.06393  0.06391  0.10834  0.06843    15
    BF16 window q1280 L=14                        5.0359  0.03557  0.03286  0.03289  0.03286  0.09363  0.04095    28
    BF16 window q1536 L=14                        6.0359  0.01848  0.01707  0.01712  0.01707  0.08931  0.02981    41
    BF16 window q1792 L=14                        7.0359  0.00965  0.00887  0.00897  0.00887  0.08812  0.02598    75

== L20.up_proj (2048, 4096)
    arm                                              bpp       wt      out   o_bf16   o_fp16       a4       a8     s
    EXL3 K=4                                      4.0117  0.08492  0.07293  0.07294  0.07293  0.11761  0.07732     0
    EXL3 K=5                                      5.0117  0.04315  0.03726  0.03729  0.03726  0.09967  0.04524     0
    EXL3 K=6                                      6.0117  0.02205  0.01908  0.01913  0.01908  0.09437  0.03202     0
    EXL3 K=8                                      8.0117  0.00588  0.00505  0.00525  0.00505  0.09257  0.02620     0
    FP8 RTN per-channel LS-refit (E4M3 floor)     8.0078  0.02080  0.02014  0.02019  0.02014  0.09458  0.03267     0
    E4M3 window q960 L=14                         3.7702  0.09065  0.08843  0.08844  0.08843  0.12776  0.09209    14
    E4M3 window q1216 L=14                        4.7703  0.04673  0.04529  0.04531  0.04529  0.10286  0.05207    23
    E4M3 window q1024 L=14                        4.0203  0.06945  0.06752  0.06752  0.06752  0.11432  0.07224    15
    E4M3 window q1280 L=14                        5.0203  0.03596  0.03487  0.03490  0.03487  0.09877  0.04332    25
    E4M3 window q1536 L=14                        6.0203  0.02362  0.02298  0.02296  0.02297  0.09525  0.03449    40
    E4M3 window q1792 L=14                        7.0203  0.02278  0.02220  0.02218  0.02219  0.09506  0.03398    88
    BF16 window q1024 L=14                        4.0359  0.06929  0.06756  0.06758  0.06756  0.11433  0.07227    14
    BF16 window q1280 L=14                        5.0359  0.03562  0.03450  0.03454  0.03450  0.09860  0.04303    27
    BF16 window q1536 L=14                        6.0359  0.01851  0.01809  0.01814  0.01809  0.09417  0.03143    38
    BF16 window q1792 L=14                        7.0359  0.00968  0.00940  0.00949  0.00940  0.09290  0.02738    80

== L42.gate_proj (2048, 4096)
    arm                                              bpp       wt      out   o_bf16   o_fp16       a4       a8     s
    EXL3 K=4                                      4.0117  0.08580  0.05132  0.05132  0.05132  0.08395  0.05453     0
    EXL3 K=5                                      5.0117  0.04361  0.02610  0.02612  0.02610  0.07145  0.03198     0
    EXL3 K=6                                      6.0117  0.02232  0.01333  0.01337  0.01333  0.06785  0.02278     0
    EXL3 K=8                                      8.0117  0.00600  0.00359  0.00375  0.00360  0.06662  0.01885     0
    FP8 RTN per-channel LS-refit (E4M3 floor)     8.0078  0.02262  0.01583  0.01590  0.01584  0.06838  0.02436     0
    E4M3 window q960 L=14                         3.7702  0.09014  0.06337  0.06337  0.06337  0.09184  0.06602    18
    E4M3 window q1216 L=14                        4.7703  0.04623  0.03230  0.03232  0.03230  0.07397  0.03723    27
    E4M3 window q1024 L=14                        4.0203  0.06904  0.04847  0.04849  0.04847  0.08231  0.05189    17
    E4M3 window q1280 L=14                        5.0203  0.03534  0.02480  0.02482  0.02480  0.07099  0.03094    26
    E4M3 window q1536 L=14                        6.0203  0.02244  0.01564  0.01570  0.01565  0.06835  0.02422    35
    E4M3 window q1792 L=14                        7.0203  0.02155  0.01507  0.01514  0.01508  0.06821  0.02387    54
    BF16 window q1024 L=14                        4.0359  0.06894  0.04823  0.04824  0.04823  0.08222  0.05168    13
    BF16 window q1280 L=14                        5.0359  0.03546  0.02484  0.02487  0.02484  0.07106  0.03100    17
    BF16 window q1536 L=14                        6.0359  0.01842  0.01291  0.01296  0.01291  0.06779  0.02257    35
    BF16 window q1792 L=14                        7.0359  0.00965  0.00680  0.00688  0.00680  0.06688  0.01970    57

== L42.up_proj (2048, 4096)
    arm                                              bpp       wt      out   o_bf16   o_fp16       a4       a8     s
    EXL3 K=4                                      4.0117  0.08580  0.06673  0.06675  0.06673  0.10897  0.07088     0
    EXL3 K=5                                      5.0117  0.04366  0.03389  0.03392  0.03389  0.09269  0.04153     0
    EXL3 K=6                                      6.0117  0.02238  0.01736  0.01743  0.01736  0.08803  0.02963     0
    EXL3 K=8                                      8.0117  0.00615  0.00479  0.00498  0.00479  0.08647  0.02448     0
    FP8 RTN per-channel LS-refit (E4M3 floor)     8.0078  0.02185  0.01999  0.02010  0.01999  0.08858  0.03124     0
    E4M3 window q960 L=14                         3.7702  0.09042  0.08205  0.08206  0.08205  0.11888  0.08545    11
    E4M3 window q1216 L=14                        4.7703  0.04652  0.04228  0.04230  0.04228  0.09609  0.04861    16
    E4M3 window q1024 L=14                        4.0203  0.06930  0.06292  0.06294  0.06292  0.10674  0.06735    11
    E4M3 window q1280 L=14                        5.0203  0.03565  0.03260  0.03263  0.03260  0.09228  0.04048    17
    E4M3 window q1536 L=14                        6.0203  0.02277  0.02072  0.02080  0.02072  0.08877  0.03171    29
    E4M3 window q1792 L=14                        7.0203  0.02194  0.01998  0.02007  0.01999  0.08860  0.03123    59
    BF16 window q1024 L=14                        4.0359  0.06913  0.06323  0.06324  0.06323  0.10702  0.06762    15
    BF16 window q1280 L=14                        5.0359  0.03554  0.03225  0.03228  0.03225  0.09212  0.04018    18
    BF16 window q1536 L=14                        6.0359  0.01848  0.01679  0.01685  0.01679  0.08793  0.02930    30
    BF16 window q1792 L=14                        7.0359  0.00967  0.00876  0.00888  0.00877  0.08677  0.02557    57

== arithmetic mean over 6 tensors (the aggregation tessera8_targets.json uses)
    arm                                              bpp       wt      out   o_bf16   o_fp16       a4       a8  gm(out)
    EXL3 K=4                                      4.0117  0.08630  0.06787  0.06789  0.06788  0.10989  0.07200  0.06736
    EXL3 K=5                                      5.0117  0.04387  0.03455  0.03458  0.03455  0.09319  0.04210  0.03429
    EXL3 K=6                                      6.0117  0.02246  0.01766  0.01772  0.01766  0.08835  0.02987  0.01753
    EXL3 K=8                                      8.0117  0.00608  0.00478  0.00498  0.00479  0.08670  0.02456  0.00475
    FP8 RTN per-channel LS-refit (E4M3 floor)     8.0078  0.02084  0.01887  0.01893  0.01887  0.08859  0.03061  0.01881
    E4M3 window q960 L=14                         3.7702  0.09057  0.08259  0.08261  0.08259  0.11945  0.08602  0.08203
    E4M3 window q1216 L=14                        4.7703  0.04662  0.04241  0.04243  0.04241  0.09635  0.04878  0.04211
    E4M3 window q1024 L=14                        4.0203  0.06940  0.06316  0.06318  0.06316  0.10703  0.06759  0.06273
    E4M3 window q1280 L=14                        5.0203  0.03580  0.03266  0.03269  0.03266  0.09249  0.04058  0.03242
    E4M3 window q1536 L=14                        6.0203  0.02323  0.02120  0.02125  0.02120  0.08913  0.03209  0.02100
    E4M3 window q1792 L=14                        7.0203  0.02234  0.02039  0.02044  0.02039  0.08893  0.03156  0.02020
    BF16 window q1024 L=14                        4.0359  0.06924  0.06322  0.06324  0.06322  0.10710  0.06765  0.06278
    BF16 window q1280 L=14                        5.0359  0.03560  0.03241  0.03244  0.03241  0.09240  0.04037  0.03219
    BF16 window q1536 L=14                        6.0359  0.01851  0.01686  0.01692  0.01686  0.08819  0.02941  0.01675
    BF16 window q1792 L=14                        7.0359  0.00968  0.00880  0.00891  0.00881  0.08701  0.02565  0.00875

wrote /mnt/shared/tessera-runs/alphabet/glm47.json
