
== L42.up_proj (2048, 4096)
    arm                                              bpp       wt      out   o_bf16   o_fp16       a4       a8     s
    EXL3 K=4                                      4.0117  0.08580  0.06673  0.06675  0.06673  0.10897  0.07088     0
    EXL3 K=5                                      5.0117  0.04366  0.03389  0.03392  0.03389  0.09269  0.04153     0
    EXL3 K=6                                      6.0117  0.02238  0.01736  0.01743  0.01736  0.08803  0.02963     0
    EXL3 K=8                                      8.0117  0.00615  0.00479  0.00498  0.00479  0.08647  0.02448     0
    FP8 RTN per-channel LS-refit (E4M3 floor)     8.0078  0.02185  0.01999  0.02010  0.01999  0.08858  0.03124     0
    E4M3 window q960 L=14                         3.7702  0.09042  0.08205  0.08206  0.08205  0.11888  0.08545    11
    E4M3 window q1216 L=14                        4.7703  0.04652  0.04228  0.04230  0.04228  0.09609  0.04861    16
    E4M3 window q2048 L=14                        8.0203  0.02191  0.01995  0.02004  0.01995  0.08859  0.03120  1659
    BF16 window q2048 L=14                        8.0359  0.00527  0.00479  0.00500  0.00479  0.08646  0.02448  2294

== arithmetic mean over 1 tensors (the aggregation tessera8_targets.json uses)
    arm                                              bpp       wt      out   o_bf16   o_fp16       a4       a8  gm(out)
    EXL3 K=4                                      4.0117  0.08580  0.06673  0.06675  0.06673  0.10897  0.07088  0.06673
    EXL3 K=5                                      5.0117  0.04366  0.03389  0.03392  0.03389  0.09269  0.04153  0.03389
    EXL3 K=6                                      6.0117  0.02238  0.01736  0.01743  0.01736  0.08803  0.02963  0.01736
    EXL3 K=8                                      8.0117  0.00615  0.00479  0.00498  0.00479  0.08647  0.02448  0.00479
    FP8 RTN per-channel LS-refit (E4M3 floor)     8.0078  0.02185  0.01999  0.02010  0.01999  0.08858  0.03124  0.01999
    E4M3 window q960 L=14                         3.7702  0.09042  0.08205  0.08206  0.08205  0.11888  0.08545  0.08205
    E4M3 window q1216 L=14                        4.7703  0.04652  0.04228  0.04230  0.04228  0.09609  0.04861  0.04228
    E4M3 window q2048 L=14                        8.0203  0.02191  0.01995  0.02004  0.01995  0.08859  0.03120  0.01995
    BF16 window q2048 L=14                        8.0359  0.00527  0.00479  0.00500  0.00479  0.08646  0.02448  0.00479

wrote /mnt/shared/tessera-runs/alphabet/glm_r8_L42.json
