
##### tessera8_targets 2026-09-01 19:25:31 args={'layers': [5, 20, 42], 'projs': ['gate_proj', 'up_proj'], 'eval_rows': 1024, 'rates': [4, 5, 6], 'sigma_units': [64.0], 'refits': 2, 'tessera4_rungs': [896, 768, 640], 'fp4cb': [24, 20, 16], 'fp8cb': [32, 40, 48], 'exl3': [4, 5, 6, 8], 'skip': '', 'out': 'experiments/results/tessera8_targets.json'}

== L5 gate_proj (2048, 4096)  held-out 1024 rows  act legs: A4 0.09170  A8 0.02550
    arm                                                               bpp       wt      out     W?A4     W?A8     s
    EXL3 K=4                                                        4.012  0.08816  0.07237  0.11671  0.07672   0.0
    EXL3 K=5                                                        5.012  0.04482  0.03674  0.09877  0.04470   0.0
    EXL3 K=6                                                        6.012  0.02294  0.01877  0.09360  0.03166   0.0
    EXL3 K=8                                                        8.012  0.00623  0.00511  0.09184  0.02602   0.0
    FP8 RTN per-channel LS-refit (the E4M3 floor)                   8.008  0.01908  0.01844  0.09352  0.03147   0.0
    NVFP4 RTN per-16 amax (fp32 scale)                              6.000  0.08962  0.08618  0.12560  0.08983   0.1
    Tessera-4 q256=896 (span2 LUT refit4 scale-wt)                  4.000  0.08728  0.08410  0.12424  0.08786   2.3
    Tessera-4 q256=768 (span2 LUT refit4 scale-wt)                  3.500  0.15096  0.14553  0.17140  0.14768   1.7
    Tessera-4 q256=640 (span2 LUT refit4 scale-wt)                  3.000  0.19964  0.19268  0.21250  0.19431   1.6
    Gridbook FP4-CB K24 (v2 two-tier)                               3.281  0.15563  0.15013  0.17555  0.15221   3.9
    Gridbook FP4-CB K20 (v2 two-tier)                               2.781  0.21554  0.20762  0.22622  0.20911   0.8
    Gridbook FP4-CB K16 (v2 two-tier)                               2.281  0.30237  0.29220  0.30505  0.29319   0.3
    Tessera-8 R=4 today (E4M3 S6b span1 refit4, builder anchors)    4.500  0.07655  0.07368  0.11723  0.07800   1.4
    Tessera-8 R=4 minor-1 wire (LUT span2 refit4 scale-wt)          4.750  0.05126  0.04945  0.10416  0.05560   2.0
    Tessera-8 R=4 per-channel, LM+mid E4M3 anchors, Ungerboeck, s=64  4.008  0.08586  0.08298  0.12344  0.08680   1.0
    Tessera-8 R=4 per-channel, same, Larsen code                    4.008  0.08763  0.08463  0.12459  0.08836   1.0
    Tessera-8 R=4 per-channel, same, unweighted trellis             4.008  0.08588  0.08280  0.12332  0.08663   1.0
    Tessera-8 R=4 per-channel, IDEAL anchors (not E4M3; reference)  4.008  0.08208  0.07908  0.12090  0.08307   1.0
    Tessera-8 R=4 per-channel, data-fit LM+mid E4M3 anchors         4.008  0.10271  0.09894  0.13483  0.10215   1.1
    Tessera-8 R=5 today (E4M3 S6b span1 refit4, builder anchors)    5.500  0.04601  0.04451  0.10144  0.05131   1.3
    Tessera-8 R=5 minor-1 wire (LUT span2 refit4 scale-wt)          5.750  0.03106  0.02989  0.09645  0.03929   2.0
    Tessera-8 R=5 per-channel, LM+mid E4M3 anchors, Ungerboeck, s=64  5.008  0.04520  0.04358  0.10136  0.05048   1.1
    Tessera-8 R=5 per-channel, same, Larsen code                    5.008  0.04594  0.04433  0.10169  0.05114   1.1
    Tessera-8 R=5 per-channel, same, unweighted trellis             5.008  0.04521  0.04348  0.10131  0.05039   1.1
    Tessera-8 R=5 per-channel, IDEAL anchors (not E4M3; reference)  5.008  0.04337  0.04182  0.10075  0.04900   1.1
    Tessera-8 R=5 per-channel, data-fit LM+mid E4M3 anchors         5.008  0.05595  0.05381  0.10630  0.05952   1.1
    Tessera-8 R=6 today (E4M3 S6b span1 refit4, builder anchors)    6.500  0.04253  0.04111  0.09999  0.04841   1.5
    Tessera-8 R=6 minor-1 wire (LUT span2 refit4 scale-wt)          6.750  0.02922  0.02813  0.09591  0.03797   2.1
    Tessera-8 R=6 per-channel, LM+mid E4M3 anchors, Ungerboeck, s=64  6.008  0.03309  0.03203  0.09702  0.04095   1.3
    Tessera-8 R=6 per-channel, same, Larsen code                    6.008  0.03321  0.03218  0.09708  0.04105   1.3
    Tessera-8 R=6 per-channel, same, unweighted trellis             6.008  0.03309  0.03203  0.09701  0.04096   1.3
    Tessera-8 R=6 per-channel, IDEAL anchors (not E4M3; reference)  6.008  0.02732  0.02634  0.09539  0.03665   1.3
    Tessera-8 R=6 per-channel, data-fit LM+mid E4M3 anchors         6.008  0.03312  0.03206  0.09702  0.04096   1.4
    Gridbook FP8-CB K32                                             4.008  0.09552  0.09222  0.12979  0.09565   0.6
    Gridbook FP8-CB K40                                             5.008  0.05044  0.04861  0.10369  0.05486   0.9
    Gridbook FP8-CB K48                                             6.008  0.02733  0.02641  0.09540  0.03671   1.9

== L5 up_proj (2048, 4096)  held-out 1024 rows  act legs: A4 0.09474  A8 0.02638
    arm                                                               bpp       wt      out     W?A4     W?A8     s
    EXL3 K=4                                                        4.012  0.08816  0.07465  0.12055  0.07915   0.0
    EXL3 K=5                                                        5.012  0.04483  0.03800  0.10204  0.04623   0.0
    EXL3 K=6                                                        6.012  0.02295  0.01944  0.09674  0.03276   0.0
    EXL3 K=8                                                        8.012  0.00617  0.00523  0.09489  0.02689   0.0
    FP8 RTN per-channel LS-refit (the E4M3 floor)                   8.008  0.01937  0.01922  0.09666  0.03265   0.0
    NVFP4 RTN per-16 amax (fp32 scale)                              6.000  0.08962  0.08927  0.12983  0.09303   0.0
    Tessera-4 q256=896 (span2 LUT refit4 scale-wt)                  4.000  0.08733  0.08693  0.12829  0.09077   2.1
    Tessera-4 q256=768 (span2 LUT refit4 scale-wt)                  3.500  0.15088  0.15046  0.17723  0.15271   1.8
    Tessera-4 q256=640 (span2 LUT refit4 scale-wt)                  3.000  0.19978  0.19963  0.22007  0.20129   1.6
    Gridbook FP4-CB K24 (v2 two-tier)                               3.281  0.15560  0.15443  0.18070  0.15662   3.1
    Gridbook FP4-CB K20 (v2 two-tier)                               2.781  0.21560  0.21532  0.23433  0.21684   0.8
    Gridbook FP4-CB K16 (v2 two-tier)                               2.281  0.30241  0.30090  0.31421  0.30195   0.3
    Tessera-8 R=4 today (E4M3 S6b span1 refit4, builder anchors)    4.500  0.07657  0.07600  0.12100  0.08045   1.2
    Tessera-8 R=4 minor-1 wire (LUT span2 refit4 scale-wt)          4.750  0.05126  0.05104  0.10756  0.05747   2.0
    Tessera-8 R=4 per-channel, LM+mid E4M3 anchors, Ungerboeck, s=64  4.008  0.08580  0.08528  0.12726  0.08924   1.0
    Tessera-8 R=4 per-channel, same, Larsen code                    4.008  0.08756  0.08715  0.12848  0.09102   1.0
    Tessera-8 R=4 per-channel, same, unweighted trellis             4.008  0.08581  0.08523  0.12722  0.08920   1.0
    Tessera-8 R=4 per-channel, IDEAL anchors (not E4M3; reference)  4.008  0.08206  0.08186  0.12502  0.08595   1.0
    Tessera-8 R=4 per-channel, data-fit LM+mid E4M3 anchors         4.008  0.10315  0.10289  0.13969  0.10615   1.1
    Tessera-8 R=5 today (E4M3 S6b span1 refit4, builder anchors)    5.500  0.04610  0.04580  0.10469  0.05288   1.3
    Tessera-8 R=5 minor-1 wire (LUT span2 refit4 scale-wt)          5.750  0.03101  0.03092  0.09966  0.04064   2.0
    Tessera-8 R=5 per-channel, LM+mid E4M3 anchors, Ungerboeck, s=64  5.008  0.04524  0.04513  0.10477  0.05228   1.1
    Tessera-8 R=5 per-channel, same, Larsen code                    5.008  0.04598  0.04585  0.10508  0.05290   1.1
    Tessera-8 R=5 per-channel, same, unweighted trellis             5.008  0.04525  0.04510  0.10476  0.05226   1.1
    Tessera-8 R=5 per-channel, IDEAL anchors (not E4M3; reference)  5.008  0.04339  0.04327  0.10406  0.05067   1.1
    Tessera-8 R=5 per-channel, data-fit LM+mid E4M3 anchors         5.008  0.05600  0.05587  0.10991  0.06179   1.2
    Tessera-8 R=6 today (E4M3 S6b span1 refit4, builder anchors)    6.500  0.04263  0.04242  0.10325  0.05000   1.6
    Tessera-8 R=6 minor-1 wire (LUT span2 refit4 scale-wt)          6.750  0.02916  0.02902  0.09910  0.03922   2.1
    Tessera-8 R=6 per-channel, LM+mid E4M3 anchors, Ungerboeck, s=64  6.008  0.03313  0.03305  0.10021  0.04229   1.3
    Tessera-8 R=6 per-channel, same, Larsen code                    6.008  0.03325  0.03302  0.10022  0.04227   1.3
    Tessera-8 R=6 per-channel, same, unweighted trellis             6.008  0.03313  0.03302  0.10020  0.04227   1.3
    Tessera-8 R=6 per-channel, IDEAL anchors (not E4M3; reference)  6.008  0.02733  0.02724  0.09858  0.03790   1.3
    Tessera-8 R=6 per-channel, data-fit LM+mid E4M3 anchors         6.008  0.03318  0.03295  0.10013  0.04222   1.4
    Gridbook FP8-CB K32                                             4.008  0.09556  0.09526  0.13407  0.09883   0.4
    Gridbook FP8-CB K40                                             5.008  0.05044  0.05031  0.10715  0.05678   0.7
    Gridbook FP8-CB K48                                             6.008  0.02727  0.02726  0.09857  0.03793   1.9

== L20 gate_proj (2048, 4096)  held-out 1024 rows  act legs: A4 0.08769  A8 0.02442
    arm                                                               bpp       wt      out     W?A4     W?A8     s
    EXL3 K=4                                                        4.012  0.08495  0.06925  0.11155  0.07340   0.0
    EXL3 K=5                                                        5.012  0.04317  0.03530  0.09450  0.04289   0.0
    EXL3 K=6                                                        6.012  0.02211  0.01799  0.08952  0.03034   0.0
    EXL3 K=8                                                        8.012  0.00608  0.00495  0.08783  0.02490   0.0
    FP8 RTN per-channel LS-refit (the E4M3 floor)                   8.008  0.02130  0.01959  0.08983  0.03127   0.0
    NVFP4 RTN per-16 amax (fp32 scale)                              6.000  0.08965  0.08252  0.12026  0.08606   0.0
    Tessera-4 q256=896 (span2 LUT refit4 scale-wt)                  4.000  0.08767  0.08064  0.11903  0.08427   2.3
    Tessera-4 q256=768 (span2 LUT refit4 scale-wt)                  3.500  0.15084  0.13919  0.16394  0.14127   2.0
    Tessera-4 q256=640 (span2 LUT refit4 scale-wt)                  3.000  0.19973  0.18463  0.20375  0.18618   1.8
    Gridbook FP4-CB K24 (v2 two-tier)                               3.281  0.15705  0.14467  0.16879  0.14665   3.1
    Gridbook FP4-CB K20 (v2 two-tier)                               2.781  0.21664  0.20044  0.21812  0.20188   0.8
    Gridbook FP4-CB K16 (v2 two-tier)                               2.281  0.30347  0.28213  0.29448  0.28310   0.3
    Tessera-8 R=4 today (E4M3 S6b span1 refit4, builder anchors)    4.500  0.07609  0.07021  0.11197  0.07435   1.2
    Tessera-8 R=4 minor-1 wire (LUT span2 refit4 scale-wt)          4.750  0.05118  0.04695  0.09937  0.05292   2.1
    Tessera-8 R=4 per-channel, LM+mid E4M3 anchors, Ungerboeck, s=64  4.008  0.08555  0.07896  0.11784  0.08264   1.0
    Tessera-8 R=4 per-channel, same, Larsen code                    4.008  0.08728  0.08061  0.11887  0.08424   1.0
    Tessera-8 R=4 per-channel, same, unweighted trellis             4.008  0.08569  0.07874  0.11769  0.08241   1.0
    Tessera-8 R=4 per-channel, IDEAL anchors (not E4M3; reference)  4.008  0.08165  0.07537  0.11547  0.07921   1.0
    Tessera-8 R=4 per-channel, data-fit LM+mid E4M3 anchors         4.008  0.08373  0.07713  0.11662  0.08088   1.1
    Tessera-8 R=5 today (E4M3 S6b span1 refit4, builder anchors)    5.500  0.04554  0.04249  0.09702  0.04906   1.3
    Tessera-8 R=5 minor-1 wire (LUT span2 refit4 scale-wt)          5.750  0.03110  0.02880  0.09221  0.03779   2.0
    Tessera-8 R=5 per-channel, LM+mid E4M3 anchors, Ungerboeck, s=64  5.008  0.04493  0.04136  0.09696  0.04799   1.1
    Tessera-8 R=5 per-channel, same, Larsen code                    5.008  0.04563  0.04196  0.09720  0.04853   1.1
    Tessera-8 R=5 per-channel, same, unweighted trellis             5.008  0.04503  0.04166  0.09705  0.04828   1.1
    Tessera-8 R=5 per-channel, IDEAL anchors (not E4M3; reference)  5.008  0.04321  0.03986  0.09626  0.04673   1.1
    Tessera-8 R=5 per-channel, data-fit LM+mid E4M3 anchors         5.008  0.05014  0.04610  0.09903  0.05216   1.2
    Tessera-8 R=6 today (E4M3 S6b span1 refit4, builder anchors)    6.500  0.04203  0.03931  0.09570  0.04635   1.6
    Tessera-8 R=6 minor-1 wire (LUT span2 refit4 scale-wt)          6.750  0.02926  0.02700  0.09166  0.03644   2.1
    Tessera-8 R=6 per-channel, LM+mid E4M3 anchors, Ungerboeck, s=64  6.008  0.03255  0.03001  0.09267  0.03868   1.3
    Tessera-8 R=6 per-channel, same, Larsen code                    6.008  0.03264  0.03021  0.09272  0.03884   1.3
    Tessera-8 R=6 per-channel, same, unweighted trellis             6.008  0.03259  0.02999  0.09266  0.03867   1.2
    Tessera-8 R=6 per-channel, IDEAL anchors (not E4M3; reference)  6.008  0.02728  0.02520  0.09124  0.03510   1.3
    Tessera-8 R=6 per-channel, data-fit LM+mid E4M3 anchors         6.008  0.03255  0.03007  0.09268  0.03873   1.4
    Gridbook FP8-CB K32                                             4.008  0.09560  0.08812  0.12405  0.09145   0.4
    Gridbook FP8-CB K40                                             5.008  0.05040  0.04657  0.09917  0.05255   0.7
    Gridbook FP8-CB K48                                             6.008  0.02553  0.02349  0.09075  0.03386   1.9

== L20 up_proj (2048, 4096)  held-out 1024 rows  act legs: A4 0.09242  A8 0.02571
    arm                                                               bpp       wt      out     W?A4     W?A8     s
    EXL3 K=4                                                        4.012  0.08492  0.07293  0.11761  0.07732   0.0
    EXL3 K=5                                                        5.012  0.04315  0.03726  0.09967  0.04524   0.0
    EXL3 K=6                                                        6.012  0.02205  0.01908  0.09437  0.03202   0.0
    EXL3 K=8                                                        8.012  0.00588  0.00505  0.09257  0.02620   0.0
    FP8 RTN per-channel LS-refit (the E4M3 floor)                   8.008  0.02080  0.02014  0.09458  0.03267   0.0
    NVFP4 RTN per-16 amax (fp32 scale)                              6.000  0.08949  0.08695  0.12667  0.09065   0.0
    Tessera-4 q256=896 (span2 LUT refit4 scale-wt)                  4.000  0.08757  0.08508  0.12545  0.08884   2.1
    Tessera-4 q256=768 (span2 LUT refit4 scale-wt)                  3.500  0.15088  0.14667  0.17279  0.14885   1.8
    Tessera-4 q256=640 (span2 LUT refit4 scale-wt)                  3.000  0.19986  0.19492  0.21492  0.19655   1.5
    Gridbook FP4-CB K24 (v2 two-tier)                               3.281  0.15687  0.15289  0.17823  0.15500   3.1
    Gridbook FP4-CB K20 (v2 two-tier)                               2.781  0.21642  0.21110  0.22971  0.21262   0.8
    Gridbook FP4-CB K16 (v2 two-tier)                               2.281  0.30323  0.29620  0.30913  0.29722   0.3
    Tessera-8 R=4 today (E4M3 S6b span1 refit4, builder anchors)    4.500  0.07606  0.07387  0.11791  0.07823   1.2
    Tessera-8 R=4 minor-1 wire (LUT span2 refit4 scale-wt)          4.750  0.05123  0.04993  0.10491  0.05618   2.1
    Tessera-8 R=4 per-channel, LM+mid E4M3 anchors, Ungerboeck, s=64  4.008  0.08552  0.08303  0.12401  0.08691   1.0
    Tessera-8 R=4 per-channel, same, Larsen code                    4.008  0.08727  0.08503  0.12538  0.08880   1.0
    Tessera-8 R=4 per-channel, same, unweighted trellis             4.008  0.08560  0.08314  0.12403  0.08701   1.0
    Tessera-8 R=4 per-channel, IDEAL anchors (not E4M3; reference)  4.008  0.08171  0.07955  0.12172  0.08360   1.0
    Tessera-8 R=4 per-channel, data-fit LM+mid E4M3 anchors         4.008  0.08997  0.08763  0.12726  0.09129   1.1
    Tessera-8 R=5 today (E4M3 S6b span1 refit4, builder anchors)    5.500  0.04538  0.04424  0.10192  0.05123   1.3
    Tessera-8 R=5 minor-1 wire (LUT span2 refit4 scale-wt)          5.750  0.03117  0.03026  0.09712  0.03972   2.1
    Tessera-8 R=5 per-channel, LM+mid E4M3 anchors, Ungerboeck, s=64  5.008  0.04520  0.04402  0.10233  0.05095   1.1
    Tessera-8 R=5 per-channel, same, Larsen code                    5.008  0.04591  0.04430  0.10243  0.05119   1.1
    Tessera-8 R=5 per-channel, same, unweighted trellis             5.008  0.04528  0.04388  0.10227  0.05084   1.1
    Tessera-8 R=5 per-channel, IDEAL anchors (not E4M3; reference)  5.008  0.04331  0.04209  0.10150  0.04932   1.1
    Tessera-8 R=5 per-channel, data-fit LM+mid E4M3 anchors         5.008  0.05071  0.04934  0.10478  0.05561   1.2
    Tessera-8 R=6 today (E4M3 S6b span1 refit4, builder anchors)    6.500  0.04183  0.04083  0.10049  0.04831   1.6
    Tessera-8 R=6 minor-1 wire (LUT span2 refit4 scale-wt)          6.750  0.02933  0.02851  0.09660  0.03841   2.2
    Tessera-8 R=6 per-channel, LM+mid E4M3 anchors, Ungerboeck, s=64  6.008  0.03286  0.03177  0.09770  0.04087   1.3
    Tessera-8 R=6 per-channel, same, Larsen code                    6.008  0.03295  0.03190  0.09774  0.04097   1.3
    Tessera-8 R=6 per-channel, same, unweighted trellis             6.008  0.03290  0.03179  0.09771  0.04088   1.2
    Tessera-8 R=6 per-channel, IDEAL anchors (not E4M3; reference)  6.008  0.02731  0.02658  0.09617  0.03698   1.3
    Tessera-8 R=6 per-channel, data-fit LM+mid E4M3 anchors         6.008  0.03291  0.03176  0.09770  0.04084   1.4
    Gridbook FP8-CB K32                                             4.008  0.09561  0.09278  0.13068  0.09626   0.4
    Gridbook FP8-CB K40                                             5.008  0.05039  0.04905  0.10450  0.05539   0.7
    Gridbook FP8-CB K48                                             6.008  0.02578  0.02497  0.09573  0.03585   1.9

== L42 gate_proj (2048, 4096)  held-out 1024 rows  act legs: A4 0.06653  A8 0.01850
    arm                                                               bpp       wt      out     W?A4     W?A8     s
    EXL3 K=4                                                        4.012  0.08580  0.05132  0.08395  0.05453   0.0
    EXL3 K=5                                                        5.012  0.04361  0.02610  0.07145  0.03198   0.0
    EXL3 K=6                                                        6.012  0.02232  0.01333  0.06785  0.02278   0.0
    EXL3 K=8                                                        8.012  0.00600  0.00359  0.06662  0.01885   0.0
    FP8 RTN per-channel LS-refit (the E4M3 floor)                   8.008  0.02262  0.01583  0.06838  0.02436   0.0
    NVFP4 RTN per-16 amax (fp32 scale)                              6.000  0.09038  0.06317  0.09173  0.06584   0.0
    Tessera-4 q256=896 (span2 LUT refit4 scale-wt)                  4.000  0.08842  0.06217  0.09105  0.06487   2.4
    Tessera-4 q256=768 (span2 LUT refit4 scale-wt)                  3.500  0.15007  0.10554  0.12457  0.10715   1.9
    Tessera-4 q256=640 (span2 LUT refit4 scale-wt)                  3.000  0.19926  0.14197  0.15667  0.14322   1.8
    Gridbook FP4-CB K24 (v2 two-tier)                               3.281  0.15567  0.11054  0.12910  0.11211   3.1
    Gridbook FP4-CB K20 (v2 two-tier)                               2.781  0.21571  0.15390  0.16772  0.15505   0.8
    Gridbook FP4-CB K16 (v2 two-tier)                               2.281  0.30278  0.22154  0.23131  0.22238   0.3
    Tessera-8 R=4 today (E4M3 S6b span1 refit4, builder anchors)    4.500  0.07667  0.05494  0.08638  0.05807   1.3
    Tessera-8 R=4 minor-1 wire (LUT span2 refit4 scale-wt)          4.750  0.05111  0.03589  0.07561  0.04036   2.2
    Tessera-8 R=4 per-channel, LM+mid E4M3 anchors, Ungerboeck, s=64  4.008  0.08521  0.05995  0.08966  0.06276   1.0
    Tessera-8 R=4 per-channel, same, Larsen code                    4.008  0.08690  0.06136  0.09056  0.06411   1.0
    Tessera-8 R=4 per-channel, same, unweighted trellis             4.008  0.08562  0.06041  0.08995  0.06321   1.0
    Tessera-8 R=4 per-channel, IDEAL anchors (not E4M3; reference)  4.008  0.08138  0.05726  0.08785  0.06018   1.0
    Tessera-8 R=4 per-channel, data-fit LM+mid E4M3 anchors         4.008  0.08460  0.05940  0.08917  0.06222   1.1
    Tessera-8 R=5 today (E4M3 S6b span1 refit4, builder anchors)    5.500  0.04719  0.03481  0.07512  0.03957   1.3
    Tessera-8 R=5 minor-1 wire (LUT span2 refit4 scale-wt)          5.750  0.03058  0.02152  0.06989  0.02833   2.1
    Tessera-8 R=5 per-channel, LM+mid E4M3 anchors, Ungerboeck, s=64  5.008  0.04462  0.03109  0.07347  0.03619   1.1
    Tessera-8 R=5 per-channel, same, Larsen code                    5.008  0.04530  0.03170  0.07369  0.03670   1.1
    Tessera-8 R=5 per-channel, same, unweighted trellis             5.008  0.04489  0.03145  0.07362  0.03650   1.1
    Tessera-8 R=5 per-channel, IDEAL anchors (not E4M3; reference)  5.008  0.04298  0.03015  0.07304  0.03538   1.1
    Tessera-8 R=5 per-channel, data-fit LM+mid E4M3 anchors         5.008  0.04571  0.03220  0.07396  0.03715   1.2
    Tessera-8 R=6 today (E4M3 S6b span1 refit4, builder anchors)    6.500  0.04386  0.03268  0.07416  0.03772   1.6
    Tessera-8 R=6 minor-1 wire (LUT span2 refit4 scale-wt)          6.750  0.02865  0.02010  0.06946  0.02728   2.2
    Tessera-8 R=6 per-channel, LM+mid E4M3 anchors, Ungerboeck, s=64  6.008  0.03245  0.02289  0.07031  0.02943   1.3
    Tessera-8 R=6 per-channel, same, Larsen code                    6.008  0.03255  0.02305  0.07041  0.02959   1.3
    Tessera-8 R=6 per-channel, same, unweighted trellis             6.008  0.03259  0.02294  0.07034  0.02948   1.3
    Tessera-8 R=6 per-channel, IDEAL anchors (not E4M3; reference)  6.008  0.02715  0.01905  0.06918  0.02653   1.3
    Tessera-8 R=6 per-channel, data-fit LM+mid E4M3 anchors         6.008  0.03253  0.02300  0.07038  0.02953   1.4
    Gridbook FP8-CB K32                                             4.008  0.09563  0.06706  0.09448  0.06957   0.4
