timestamp, power.draw [W]
2026/09/01 22:46:30.782, 46.84 W
2026/09/01 22:46:31.783, 45.99 W
2026/09/01 22:46:32.784, 46.88 W
2026/09/01 22:46:33.784, 44.10 W
2026/09/01 22:46:34.784, 45.83 W
2026/09/01 22:46:35.784, 44.80 W
2026/09/01 22:46:36.785, 46.62 W
2026/09/01 22:46:37.785, 44.72 W
2026/09/01 22:46:38.785, 46.39 W
2026/09/01 22:46:39.785, 45.34 W
2026/09/01 22:46:40.786, 45.96 W
2026/09/01 22:46:41.786, 46.13 W
2026/09/01 22:46:42.786, 45.41 W
2026/09/01 22:46:43.786, 46.60 W
2026/09/01 22:46:44.786, 45.10 W
2026/09/01 22:46:45.787, 46.83 W
2026/09/01 22:46:46.787, 48.14 W
2026/09/01 22:46:47.787, 45.86 W
2026/09/01 22:46:48.787, 46.83 W
2026/09/01 22:46:49.788, 48.55 W
2026/09/01 22:46:50.788, 45.85 W
2026/09/01 22:46:51.788, 46.75 W
2026/09/01 22:46:52.789, 48.90 W
2026/09/01 22:46:53.789, 48.56 W
2026/09/01 22:46:54.789, 49.89 W
2026/09/01 22:46:55.789, 48.49 W
2026/09/01 22:46:56.790, 49.08 W
2026/09/01 22:46:57.790, 50.28 W
2026/09/01 22:46:58.790, 50.30 W
2026/09/01 22:46:59.791, 50.20 W
2026/09/01 22:47:00.791, 47.92 W
2026/09/01 22:47:01.791, 46.78 W
2026/09/01 22:47:02.791, 54.87 W
2026/09/01 22:47:03.792, 53.47 W
2026/09/01 22:47:04.792, 56.20 W
2026/09/01 22:47:05.792, 53.76 W
2026/09/01 22:47:06.792, 55.54 W
2026/09/01 22:47:07.792, 54.34 W
2026/09/01 22:47:08.792, 54.97 W
2026/09/01 22:47:09.793, 55.37 W
2026/09/01 22:47:10.793, 54.51 W
2026/09/01 22:47:11.793, 56.09 W
2026/09/01 22:47:12.793, 53.74 W
2026/09/01 22:47:13.794, 56.46 W
2026/09/01 22:47:14.794, 53.51 W
2026/09/01 22:47:15.794, 56.76 W
2026/09/01 22:47:16.794, 53.50 W
2026/09/01 22:47:17.794, 56.53 W
2026/09/01 22:47:18.794, 53.86 W
2026/09/01 22:47:19.795, 56.64 W
2026/09/01 22:47:20.795, 53.73 W
2026/09/01 22:47:21.795, 56.63 W
2026/09/01 22:47:22.795, 48.55 W
2026/09/01 22:47:23.795, 49.44 W
2026/09/01 22:47:24.796, 47.05 W
2026/09/01 22:47:25.796, 52.67 W
2026/09/01 22:47:26.796, 50.21 W
2026/09/01 22:47:27.796, 53.85 W
2026/09/01 22:47:28.796, 50.71 W
2026/09/01 22:47:29.796, 53.62 W
2026/09/01 22:47:30.797, 52.09 W
2026/09/01 22:47:31.797, 52.24 W
2026/09/01 22:47:32.797, 53.89 W
2026/09/01 22:47:33.797, 50.94 W
2026/09/01 22:47:34.797, 53.46 W
2026/09/01 22:47:35.798, 51.18 W
2026/09/01 22:47:36.798, 53.67 W
2026/09/01 22:47:37.798, 51.59 W
2026/09/01 22:47:38.798, 54.97 W
2026/09/01 22:47:39.799, 55.95 W
2026/09/01 22:47:40.799, 58.03 W
2026/09/01 22:47:41.799, 56.06 W
2026/09/01 22:47:42.800, 56.87 W
2026/09/01 22:47:43.800, 57.08 W
2026/09/01 22:47:44.800, 57.33 W
2026/09/01 22:47:45.800, 57.01 W
2026/09/01 22:47:46.801, 56.74 W
2026/09/01 22:47:47.801, 57.89 W
2026/09/01 22:47:48.801, 55.73 W
2026/09/01 22:47:49.801, 58.62 W
2026/09/01 22:47:50.801, 55.59 W
2026/09/01 22:47:51.802, 58.46 W
2026/09/01 22:47:52.802, 55.38 W
2026/09/01 22:47:53.802, 58.66 W
2026/09/01 22:47:54.802, 55.65 W
2026/09/01 22:47:55.802, 58.46 W
2026/09/01 22:47:56.802, 55.59 W
2026/09/01 22:47:57.803, 58.69 W
2026/09/01 22:47:58.803, 49.75 W
2026/09/01 22:47:59.803, 50.11 W
2026/09/01 22:48:00.803, 47.62 W
2026/09/01 22:48:01.804, 52.43 W
2026/09/01 22:48:02.804, 51.67 W
2026/09/01 22:48:03.804, 53.83 W
2026/09/01 22:48:04.804, 52.06 W
2026/09/01 22:48:05.805, 53.71 W
2026/09/01 22:48:06.805, 52.18 W
2026/09/01 22:48:07.805, 54.12 W
2026/09/01 22:48:08.805, 52.92 W
2026/09/01 22:48:09.805, 52.77 W
2026/09/01 22:48:10.806, 53.97 W
2026/09/01 22:48:11.806, 51.86 W
2026/09/01 22:48:12.806, 53.78 W
2026/09/01 22:48:13.806, 51.83 W
2026/09/01 22:48:14.807, 54.14 W
2026/09/01 22:48:15.807, 52.12 W
