
== L5.gate_proj (2048, 4096)
    arm                                                     bpp       wt      out       a4       a8      s
    EXL3 K=4 (LDLQ, W4A16)                                4.012  0.08816  0.07237  0.11671  0.07672      0
    EXL3 K=5 (LDLQ, W4A16)                                5.012  0.04482  0.03674  0.09877  0.04470      0
    E4M3 window q960 L=14                                 3.770  0.09085  0.08747  0.12645  0.09107     17
    E4M3 window q960 L=14 LDLQ1.0                         3.770  0.09524  0.08208  0.12279  0.08589     36
    E4M3 window q960 L=14 refit-hessian                   3.770  0.09117  0.08754  0.12654  0.09113     19
    E4M3 window q960 L=14 LDLQ1.0 refit-hessian           3.770  0.09525  0.08192  0.12270  0.08575     37
    E4M3 window q1216 L=14                                4.770  0.04687  0.04518  0.10211  0.05188     26
    E4M3 window q1216 L=14 LDLQ1.0                        4.770  0.04919  0.04247  0.10097  0.04952     46
    E4M3 window q1216 L=14 refit-hessian                  4.770  0.04712  0.04506  0.10207  0.05178     27
    E4M3 window q1216 L=14 LDLQ1.0 refit-hessian          4.770  0.04939  0.04262  0.10101  0.04965     57

== L5.up_proj (2048, 4096)
    arm                                                     bpp       wt      out       a4       a8      s
    EXL3 K=4 (LDLQ, W4A16)                                4.012  0.08816  0.07465  0.12055  0.07915      0
    EXL3 K=5 (LDLQ, W4A16)                                5.012  0.04483  0.03800  0.10204  0.04623      0
    E4M3 window q960 L=14                                 3.770  0.09084  0.09083  0.13097  0.09457     20
    E4M3 window q960 L=14 LDLQ1.0                         3.770  0.09523  0.08475  0.12686  0.08871     34
    E4M3 window q960 L=14 refit-hessian                   3.770  0.09107  0.09034  0.13074  0.09410     16
    E4M3 window q960 L=14 LDLQ1.0 refit-hessian           3.770  0.09525  0.08490  0.12703  0.08887     34
    E4M3 window q1216 L=14                                4.770  0.04683  0.04656  0.10553  0.05352     25
    E4M3 window q1216 L=14 LDLQ1.0                        4.770  0.04915  0.04377  0.10435  0.05109     47
    E4M3 window q1216 L=14 refit-hessian                  4.770  0.04699  0.04644  0.10550  0.05339     24
    E4M3 window q1216 L=14 LDLQ1.0 refit-hessian          4.770  0.04932  0.04394  0.10437  0.05125     43

== L20.gate_proj (2048, 4096)
    arm                                                     bpp       wt      out       a4       a8      s
    EXL3 K=4 (LDLQ, W4A16)                                4.012  0.08495  0.06925  0.11155  0.07340      0
    EXL3 K=5 (LDLQ, W4A16)                                5.012  0.04317  0.03530  0.09450  0.04289      0
    E4M3 window q960 L=14                                 3.770  0.09051  0.08342  0.12082  0.08690     17
    E4M3 window q960 L=14 LDLQ1.0                         3.770  0.09455  0.07939  0.11803  0.08303     34
    E4M3 window q960 L=14 refit-hessian                   3.770  0.09104  0.08296  0.12053  0.08645     17
    E4M3 window q960 L=14 LDLQ1.0 refit-hessian           3.770  0.09459  0.07953  0.11818  0.08317     35
    E4M3 window q1216 L=14                                4.770  0.04652  0.04284  0.09755  0.04932     25
    E4M3 window q1216 L=14 LDLQ1.0                        4.770  0.04866  0.04079  0.09662  0.04754     41
    E4M3 window q1216 L=14 refit-hessian                  4.770  0.04679  0.04261  0.09744  0.04912     28
    E4M3 window q1216 L=14 LDLQ1.0 refit-hessian          4.770  0.04899  0.04098  0.09672  0.04769     44

== L20.up_proj (2048, 4096)
    arm                                                     bpp       wt      out       a4       a8      s
    EXL3 K=4 (LDLQ, W4A16)                                4.012  0.08492  0.07293  0.11761  0.07732      0
    EXL3 K=5 (LDLQ, W4A16)                                5.012  0.04315  0.03726  0.09967  0.04524      0
    E4M3 window q960 L=14                                 3.770  0.09065  0.08843  0.12776  0.09209     17
    E4M3 window q960 L=14 LDLQ1.0                         3.770  0.09469  0.08399  0.12466  0.08783     34
    E4M3 window q960 L=14 refit-hessian                   3.770  0.09097  0.08786  0.12739  0.09153     17
    E4M3 window q960 L=14 LDLQ1.0 refit-hessian           3.770  0.09471  0.08372  0.12452  0.08759     35
    E4M3 window q1216 L=14                                4.770  0.04673  0.04529  0.10286  0.05207     25
    E4M3 window q1216 L=14 LDLQ1.0                        4.770  0.04887  0.04311  0.10190  0.05020     49
    E4M3 window q1216 L=14 refit-hessian                  4.770  0.04692  0.04540  0.10283  0.05217     25
    E4M3 window q1216 L=14 LDLQ1.0 refit-hessian          4.770  0.04913  0.04335  0.10203  0.05039     45

== L42.gate_proj (2048, 4096)
    arm                                                     bpp       wt      out       a4       a8      s
    EXL3 K=4 (LDLQ, W4A16)                                4.012  0.08580  0.05132  0.08395  0.05453      0
    EXL3 K=5 (LDLQ, W4A16)                                5.012  0.04361  0.02610  0.07145  0.03198      0
    E4M3 window q960 L=14                                 3.770  0.09014  0.06337  0.09184  0.06602     17
    E4M3 window q960 L=14 LDLQ1.0                         3.770  0.09390  0.05755  0.08772  0.06043     35
    E4M3 window q960 L=14 refit-hessian                   3.770  0.09209  0.06160  0.09069  0.06430     16
    E4M3 window q960 L=14 LDLQ1.0 refit-hessian           3.770  0.09396  0.05754  0.08770  0.06040     36
    E4M3 window q1216 L=14                                4.770  0.04623  0.03230  0.07397  0.03723     24
    E4M3 window q1216 L=14 LDLQ1.0                        4.770  0.04822  0.02953  0.07274  0.03482     50
    E4M3 window q1216 L=14 refit-hessian                  4.770  0.04738  0.03154  0.07360  0.03655     28
    E4M3 window q1216 L=14 LDLQ1.0 refit-hessian          4.770  0.04877  0.02989  0.07284  0.03514     46

== L42.up_proj (2048, 4096)
    arm                                                     bpp       wt      out       a4       a8      s
    EXL3 K=4 (LDLQ, W4A16)                                4.012  0.08580  0.06673  0.10897  0.07088      0
    EXL3 K=5 (LDLQ, W4A16)                                5.012  0.04366  0.03389  0.09269  0.04153      0
    E4M3 window q960 L=14                                 3.770  0.09042  0.08205  0.11888  0.08545     17
    E4M3 window q960 L=14 LDLQ1.0                         3.770  0.09417  0.07486  0.11399  0.07857     35
    E4M3 window q960 L=14 refit-hessian                   3.770  0.09119  0.08151  0.11852  0.08493     17
    E4M3 window q960 L=14 LDLQ1.0 refit-hessian           3.770  0.09419  0.07502  0.11411  0.07874     38
    E4M3 window q1216 L=14                                4.770  0.04652  0.04228  0.09609  0.04861     25
    E4M3 window q1216 L=14 LDLQ1.0                        4.770  0.04854  0.03869  0.09455  0.04553     48
    E4M3 window q1216 L=14 refit-hessian                  4.770  0.04700  0.04191  0.09592  0.04829     26
    E4M3 window q1216 L=14 LDLQ1.0 refit-hessian          4.770  0.04892  0.03900  0.09468  0.04578     44

DONE
