
##### tessera_vs_exl3_followups 2026-09-01 20:18:14 args={'layers': [5, 20, 42], 'projs': ['gate_proj', 'up_proj'], 'eval_rows': 1024, 'exl3': [2, 3, 4, 5, 6, 8], 'sigmas': [1.0, 3.0], 'ldlq_block': 32, 'q256': 896, 'rates': [4, 5], 'sigma_units': 64.0, 'refits': 2, 'fp4cb': [24, 20, 16], 'fp8cb': [32, 40, 48], 'cb_ldlq': 1, 's6b_inner': 1, 'out': 'experiments/results/tessera_vs_exl3_followups.json'}

== L5.gate_proj (2048, 4096)  H 7168 rows  held-out 1024 rows  act legs: A4 0.09170  A8 0.02550
    arm                                                                   bpp       wt      out     W?A4     W?A8      s
    EXL3 K=2                                                            2.012  0.34116  0.28124  0.29498  0.28224    0.0
    EXL3 K=3                                                            3.012  0.17384  0.14260  0.16927  0.14482    0.0
    EXL3 K=4                                                            4.012  0.08816  0.07237  0.11671  0.07672    0.0
    EXL3 K=5                                                            5.012  0.04482  0.03674  0.09877  0.04470    0.0
    EXL3 K=6                                                            6.012  0.02294  0.01877  0.09360  0.03166    0.0
    EXL3 K=8                                                            8.012  0.00623  0.00511  0.09184  0.02602    0.0
    Gridbook FP8-CB K32                                                 4.008  0.09552  0.09222  0.12979  0.09565    1.1
    Gridbook FP8-CB K32 +imatrix                                        4.008  0.09564  0.09193  0.12960  0.09537    0.9
    Gridbook FP8-CB K40                                                 5.008  0.05044  0.04861  0.10369  0.05486    1.3
    Gridbook FP8-CB K40 +imatrix                                        5.008  0.05050  0.04856  0.10366  0.05483    1.5
    Gridbook FP8-CB K48                                                 6.008  0.02733  0.02641  0.09540  0.03671    1.9
    Gridbook FP8-CB K48 +imatrix                                        6.008  0.02731  0.02638  0.09539  0.03670    2.0
    Gridbook FP4-CB K24 (v2 two-tier)                                   3.281  0.15563  0.15013  0.17555  0.15221    3.8
    Gridbook FP4-CB K24 (v2 two-tier) +imatrix                          3.281  0.15599  0.14976  0.17525  0.15183    4.3
    Gridbook FP4-CB K20 (v2 two-tier)                                   2.781  0.21554  0.20762  0.22622  0.20911    1.3
    Gridbook FP4-CB K20 (v2 two-tier) +imatrix                          2.781  0.21606  0.20780  0.22637  0.20929    1.4
    Gridbook FP4-CB K16 (v2 two-tier)                                   2.281  0.30237  0.29220  0.30505  0.29319    1.1
    Gridbook FP4-CB K16 (v2 two-tier) +imatrix                          2.281  0.30313  0.29179  0.30467  0.29278    1.0
    Gridbook FP8-CB K32 +imatrix +LDLQ(gated)                           4.008  0.09564  0.09193  0.12960  0.09537    1.0
    Gridbook FP8-CB K40 +imatrix +LDLQ(gated)                           5.008  0.05050  0.04856  0.10366  0.05483    2.8
    Gridbook FP8-CB K48 +imatrix +LDLQ(gated)                           6.008  0.02731  0.02638  0.09539  0.03670   11.1
    Gridbook FP4-CB K24 (v2 two-tier) +imatrix +LDLQ(gated)             3.281  0.15599  0.14976  0.17525  0.15183   17.3
    Gridbook FP4-CB K20 (v2 two-tier) +imatrix +LDLQ(gated)             2.781  0.21606  0.20780  0.22637  0.20929    5.0
    Gridbook FP4-CB K16 (v2 two-tier) +imatrix +LDLQ(gated)             2.281  0.30313  0.29179  0.30467  0.29278    1.7
    Tessera-4 q256=896 (span2 LUT refit4 scale-wt)                      4.000  0.08728  0.08410  0.12424  0.08786    2.2
    Tessera-4 + LDLQ s=1.0 (whole re-encode)                            4.000  0.09187  0.08098  0.12218  0.08489   93.2
    Tessera-4 + LDLQ s=1.0 (STITCHED, diagnostic)                       4.000  0.09186  0.07925  0.12105  0.08323    0.0
    Tessera-4 + LDLQ s=1.0 (whole re-encode, S6b inner)                 4.000  0.09313  0.09078  0.12870  0.09423   78.0
    Tessera-4 + LDLQ s=1.0 (STITCHED, diagnostic, S6b inner)            4.000  0.10417  0.08999  0.12812  0.09350    0.0
    Tessera-4 + LDLQ s=3.0 (whole re-encode)                            4.000  0.08879  0.07994  0.12156  0.08388   93.6
    Tessera-4 + LDLQ s=3.0 (STITCHED, diagnostic)                       4.000  0.08876  0.07850  0.12058  0.08251    0.0
    Tessera-8 R=4 per-channel (s=64)                                    4.008  0.08586  0.08298  0.12345  0.08680    2.1
    Tessera-8 R=4 per-channel + LDLQ s=1.0 (frozen row scale)           4.008  0.08995  0.07741  0.11976  0.08147   77.7
    Tessera-8 R=4 per-channel + LDLQ s=3.0 (frozen row scale)           4.008  0.08725  0.07715  0.11957  0.08123   38.8
    Tessera-8 R=5 per-channel (s=64)                                    5.008  0.04520  0.04358  0.10136  0.05048    2.2
    Tessera-8 R=5 per-channel + LDLQ s=1.0 (frozen row scale)           5.008  0.04736  0.04090  0.10026  0.04817   77.4
    Tessera-8 R=5 per-channel + LDLQ s=3.0 (frozen row scale)           5.008  0.04593  0.04056  0.10008  0.04791   38.7

== L5.up_proj (2048, 4096)  H 7168 rows  held-out 1024 rows  act legs: A4 0.09474  A8 0.02638
    arm                                                                   bpp       wt      out     W?A4     W?A8      s
    EXL3 K=2                                                            2.012  0.34131  0.29097  0.30520  0.29199    0.0
    EXL3 K=3                                                            3.012  0.17395  0.14759  0.17504  0.14987    0.0
    EXL3 K=4                                                            4.012  0.08816  0.07465  0.12055  0.07915    0.0
    EXL3 K=5                                                            5.012  0.04483  0.03800  0.10204  0.04623    0.0
    EXL3 K=6                                                            6.012  0.02295  0.01944  0.09674  0.03276    0.0
    EXL3 K=8                                                            8.012  0.00617  0.00523  0.09489  0.02689    0.0
    Gridbook FP8-CB K32                                                 4.008  0.09556  0.09526  0.13407  0.09883    0.4
    Gridbook FP8-CB K32 +imatrix                                        4.008  0.09568  0.09519  0.13406  0.09877    0.5
    Gridbook FP8-CB K40                                                 5.008  0.05044  0.05031  0.10715  0.05678    0.7
    Gridbook FP8-CB K40 +imatrix                                        5.008  0.05051  0.05033  0.10715  0.05682    0.7
    Gridbook FP8-CB K48                                                 6.008  0.02727  0.02726  0.09857  0.03793    1.9
    Gridbook FP8-CB K48 +imatrix                                        6.008  0.02727  0.02720  0.09855  0.03790    2.0
    Gridbook FP4-CB K24 (v2 two-tier)                                   3.281  0.15560  0.15443  0.18070  0.15662    3.3
    Gridbook FP4-CB K24 (v2 two-tier) +imatrix                          3.281  0.15596  0.15423  0.18052  0.15643    3.7
    Gridbook FP4-CB K20 (v2 two-tier)                                   2.781  0.21560  0.21532  0.23433  0.21684    1.3
    Gridbook FP4-CB K20 (v2 two-tier) +imatrix                          2.781  0.21613  0.21521  0.23424  0.21674    1.4
    Gridbook FP4-CB K16 (v2 two-tier)                                   2.281  0.30241  0.30090  0.31421  0.30195    1.1
    Gridbook FP4-CB K16 (v2 two-tier) +imatrix                          2.281  0.30318  0.30052  0.31386  0.30158    1.0
    Gridbook FP8-CB K32 +imatrix +LDLQ(gated)                           4.008  0.09568  0.09519  0.13406  0.09877    1.0
    Gridbook FP8-CB K40 +imatrix +LDLQ(gated)                           5.008  0.05051  0.05033  0.10715  0.05682    2.8
    Gridbook FP8-CB K48 +imatrix +LDLQ(gated)                           6.008  0.02727  0.02720  0.09855  0.03790   11.1
    Gridbook FP4-CB K24 (v2 two-tier) +imatrix +LDLQ(gated)             3.281  0.15596  0.15423  0.18052  0.15643   17.4
    Gridbook FP4-CB K20 (v2 two-tier) +imatrix +LDLQ(gated)             2.781  0.21613  0.21521  0.23424  0.21674    5.0
    Gridbook FP4-CB K16 (v2 two-tier) +imatrix +LDLQ(gated)             2.281  0.30318  0.30052  0.31386  0.30158    1.7
    Tessera-4 q256=896 (span2 LUT refit4 scale-wt)                      4.000  0.08733  0.08693  0.12829  0.09077    2.2
    Tessera-4 + LDLQ s=1.0 (whole re-encode)                            4.000  0.09191  0.08387  0.12631  0.08786  107.4
    Tessera-4 + LDLQ s=1.0 (STITCHED, diagnostic)                       4.000  0.09191  0.08215  0.12516  0.08622    0.0
    Tessera-4 + LDLQ s=1.0 (whole re-encode, S6b inner)                 4.000  0.09316  0.09354  0.13296  0.09712  304.6
    Tessera-4 + LDLQ s=1.0 (STITCHED, diagnostic, S6b inner)            4.000  0.10415  0.09299  0.13251  0.09661    0.0
    Tessera-4 + LDLQ s=3.0 (whole re-encode)                            4.000  0.08887  0.08275  0.12555  0.08680 1138.2
    Tessera-4 + LDLQ s=3.0 (STITCHED, diagnostic)                       4.000  0.08883  0.08138  0.12467  0.08549    0.0
    Tessera-8 R=4 per-channel (s=64)                                    4.008  0.08580  0.08526  0.12724  0.08922   12.2
    Tessera-8 R=4 per-channel + LDLQ s=1.0 (frozen row scale)           4.008  0.08989  0.07994  0.12373  0.08415  189.0
    Tessera-8 R=4 per-channel + LDLQ s=3.0 (frozen row scale)           4.008  0.08717  0.07976  0.12352  0.08398  194.9
    Tessera-8 R=5 per-channel (s=64)                                    5.008  0.04524  0.04513  0.10477  0.05228   13.0
    Tessera-8 R=5 per-channel + LDLQ s=1.0 (frozen row scale)           5.008  0.04741  0.04217  0.10359  0.04975  190.7
    Tessera-8 R=5 per-channel + LDLQ s=3.0 (frozen row scale)           5.008  0.04597  0.04199  0.10347  0.04959  195.4

== L20.gate_proj (2048, 4096)  H 7168 rows  held-out 1024 rows  act legs: A4 0.08769  A8 0.02442
    arm                                                                   bpp       wt      out     W?A4     W?A8      s
    EXL3 K=2                                                            2.012  0.32959  0.27085  0.28388  0.27184    0.0
    EXL3 K=3                                                            3.012  0.16769  0.13674  0.16216  0.13886    0.0
    EXL3 K=4                                                            4.012  0.08495  0.06925  0.11155  0.07340    0.0
    EXL3 K=5                                                            5.012  0.04317  0.03530  0.09450  0.04289    0.0
    EXL3 K=6                                                            6.012  0.02211  0.01799  0.08952  0.03034    0.0
    EXL3 K=8                                                            8.012  0.00608  0.00495  0.08783  0.02490    0.0
    Gridbook FP8-CB K32                                                 4.008  0.09560  0.08812  0.12405  0.09145    1.5
    Gridbook FP8-CB K32 +imatrix                                        4.008  0.09575  0.08801  0.12397  0.09134    1.6
    Gridbook FP8-CB K40                                                 5.008  0.05040  0.04657  0.09917  0.05255    2.3
    Gridbook FP8-CB K40 +imatrix                                        5.008  0.05048  0.04662  0.09922  0.05259    2.5
    Gridbook FP8-CB K48                                                 6.008  0.02553  0.02349  0.09075  0.03386    6.7
    Gridbook FP8-CB K48 +imatrix                                        6.008  0.02557  0.02352  0.09075  0.03389    7.1
    Gridbook FP4-CB K24 (v2 two-tier)                                   3.281  0.15705  0.14467  0.16879  0.14665   11.3
    Gridbook FP4-CB K24 (v2 two-tier) +imatrix                          3.281  0.15747  0.14481  0.16890  0.14680   12.5
    Gridbook FP4-CB K20 (v2 two-tier)                                   2.781  0.21664  0.20044  0.21812  0.20188    4.5
    Gridbook FP4-CB K20 (v2 two-tier) +imatrix                          2.781  0.21724  0.19945  0.21717  0.20089    4.7
    Gridbook FP4-CB K16 (v2 two-tier)                                   2.281  0.30347  0.28213  0.29448  0.28310    3.8
    Gridbook FP4-CB K16 (v2 two-tier) +imatrix                          2.281  0.30437  0.28180  0.29422  0.28278    3.4
    Gridbook FP8-CB K32 +imatrix +LDLQ(gated)                           4.008  0.14963  0.12269  0.15069  0.12505    3.3
    Gridbook FP8-CB K40 +imatrix +LDLQ(gated)                           5.008  0.07919  0.06490  0.10905  0.06931   10.0
    Gridbook FP8-CB K48 +imatrix +LDLQ(gated)                           6.008  0.02557  0.02352  0.09075  0.03389   38.0
    Gridbook FP4-CB K24 (v2 two-tier) +imatrix +LDLQ(gated)             3.281  0.15747  0.14481  0.16890  0.14680   55.3
    Gridbook FP4-CB K20 (v2 two-tier) +imatrix +LDLQ(gated)             2.781  0.21724  0.19945  0.21717  0.20089   11.5
    Gridbook FP4-CB K16 (v2 two-tier) +imatrix +LDLQ(gated)             2.281  0.46315  0.38147  0.39058  0.38207    3.9
    Tessera-4 q256=896 (span2 LUT refit4 scale-wt)                      4.000  0.08767  0.08064  0.11903  0.08427    9.2
    Tessera-4 + LDLQ s=1.0 (whole re-encode)                            4.000  0.09179  0.07799  0.11725  0.08172  566.9
    Tessera-4 + LDLQ s=1.0 (STITCHED, diagnostic)                       4.000  0.09179  0.07674  0.11646  0.08051    0.0
    Tessera-4 + LDLQ s=1.0 (whole re-encode, S6b inner)                 4.000  0.09295  0.08666  0.12308  0.09002  377.0
    Tessera-4 + LDLQ s=1.0 (STITCHED, diagnostic, S6b inner)            4.000  0.10404  0.08691  0.12321  0.09023    0.0
    Tessera-4 + LDLQ s=3.0 (whole re-encode)                            4.000  0.08911  0.07672  0.11645  0.08050  859.2
    Tessera-4 + LDLQ s=3.0 (STITCHED, diagnostic)                       4.000  0.08913  0.07579  0.11581  0.07960    0.0
    Tessera-8 R=4 per-channel (s=64)                                    4.008  0.08555  0.07894  0.11783  0.08262   12.5
    Tessera-8 R=4 per-channel + LDLQ s=1.0 (frozen row scale)           4.008  0.08931  0.07522  0.11525  0.07908  197.6
    Tessera-8 R=4 per-channel + LDLQ s=3.0 (frozen row scale)           4.008  0.08690  0.07392  0.11440  0.07780  198.3
    Tessera-8 R=5 per-channel (s=64)                                    5.008  0.04493  0.04136  0.09696  0.04799   13.0
    Tessera-8 R=5 per-channel + LDLQ s=1.0 (frozen row scale)           5.008  0.04691  0.03928  0.09601  0.04622  195.0
    Tessera-8 R=5 per-channel + LDLQ s=3.0 (frozen row scale)           5.008  0.04564  0.03886  0.09591  0.04589  197.5

== L20.up_proj (2048, 4096)  H 7168 rows  held-out 1024 rows  act legs: A4 0.09242  A8 0.02571
    arm                                                                   bpp       wt      out     W?A4     W?A8      s
    EXL3 K=2                                                            2.012  0.32934  0.28421  0.29811  0.28524    0.0
    EXL3 K=3                                                            3.012  0.16760  0.14411  0.17086  0.14632    0.0
    EXL3 K=4                                                            4.012  0.08492  0.07293  0.11761  0.07732    0.0
    EXL3 K=5                                                            5.012  0.04315  0.03726  0.09967  0.04524    0.0
    EXL3 K=6                                                            6.012  0.02205  0.01908  0.09437  0.03202    0.0
    EXL3 K=8                                                            8.012  0.00588  0.00505  0.09257  0.02620    0.0
    Gridbook FP8-CB K32                                                 4.008  0.09561  0.09278  0.13068  0.09626    1.5
    Gridbook FP8-CB K32 +imatrix                                        4.008  0.09576  0.09279  0.13068  0.09627    1.6
    Gridbook FP8-CB K40                                                 5.008  0.05039  0.04905  0.10450  0.05539    2.4
    Gridbook FP8-CB K40 +imatrix                                        5.008  0.05047  0.04894  0.10443  0.05527    2.5
    Gridbook FP8-CB K48                                                 6.008  0.02578  0.02497  0.09573  0.03585    6.7
    Gridbook FP8-CB K48 +imatrix                                        6.008  0.02584  0.02507  0.09577  0.03591    7.1
    Gridbook FP4-CB K24 (v2 two-tier)                                   3.281  0.15687  0.15289  0.17823  0.15500   11.3
    Gridbook FP4-CB K24 (v2 two-tier) +imatrix                          3.281  0.15729  0.15264  0.17801  0.15475   12.6
    Gridbook FP4-CB K20 (v2 two-tier)                                   2.781  0.21642  0.21110  0.22971  0.21262    4.5
    Gridbook FP4-CB K20 (v2 two-tier) +imatrix                          2.781  0.21702  0.21059  0.22932  0.21211    4.8
    Gridbook FP4-CB K16 (v2 two-tier)                                   2.281  0.30323  0.29620  0.30913  0.29722    3.9
    Gridbook FP4-CB K16 (v2 two-tier) +imatrix                          2.281  0.30413  0.29596  0.30889  0.29698    3.8
    Gridbook FP8-CB K32 +imatrix +LDLQ(gated)                           4.008  0.14952  0.12885  0.15838  0.13136    3.4
    Gridbook FP8-CB K40 +imatrix +LDLQ(gated)                           5.008  0.07912  0.06826  0.11481  0.07294    9.9
    Gridbook FP8-CB K48 +imatrix +LDLQ(gated)                           6.008  0.02584  0.02507  0.09577  0.03591   38.5
    Gridbook FP4-CB K24 (v2 two-tier) +imatrix +LDLQ(gated)             3.281  0.15729  0.15264  0.17801  0.15475   59.1
    Gridbook FP4-CB K20 (v2 two-tier) +imatrix +LDLQ(gated)             2.781  0.21702  0.21059  0.22932  0.21211   17.1
    Gridbook FP4-CB K16 (v2 two-tier) +imatrix +LDLQ(gated)             2.281  0.46295  0.40334  0.41287  0.40398    5.8
    Tessera-4 q256=896 (span2 LUT refit4 scale-wt)                      4.000  0.08757  0.08508  0.12545  0.08884   14.8
    Tessera-4 + LDLQ s=1.0 (whole re-encode)                            4.000  0.09169  0.08256  0.12371  0.08644 1323.6
    Tessera-4 + LDLQ s=1.0 (STITCHED, diagnostic)                       4.000  0.09167  0.08102  0.12271  0.08497    0.0
    Tessera-4 + LDLQ s=1.0 (whole re-encode, S6b inner)                 4.000  0.09286  0.09072  0.12924  0.09423  585.6
    Tessera-4 + LDLQ s=1.0 (STITCHED, diagnostic, S6b inner)            4.000  0.10401  0.09178  0.12996  0.09528    0.0
    Tessera-4 + LDLQ s=3.0 (whole re-encode)                            4.000  0.08901  0.08098  0.12271  0.08491  604.0
    Tessera-4 + LDLQ s=3.0 (STITCHED, diagnostic)                       4.000  0.08898  0.08000  0.12205  0.08399    0.0
    Tessera-8 R=4 per-channel (s=64)                                    4.008  0.08552  0.08306  0.12404  0.08694    7.4
    Tessera-8 R=4 per-channel + LDLQ s=1.0 (frozen row scale)           4.008  0.08928  0.07856  0.12100  0.08263  181.0
    Tessera-8 R=4 per-channel + LDLQ s=3.0 (frozen row scale)           4.008  0.08687  0.07801  0.12068  0.08211  199.1
    Tessera-8 R=5 per-channel (s=64)                                    5.008  0.04520  0.04402  0.10233  0.05095   15.8
    Tessera-8 R=5 per-channel + LDLQ s=1.0 (frozen row scale)           5.008  0.04721  0.04166  0.10133  0.04892  279.8
    Tessera-8 R=5 per-channel + LDLQ s=3.0 (frozen row scale)           5.008  0.04592  0.04117  0.10114  0.04852  287.9

== L42.gate_proj (2048, 4096)  H 7168 rows  held-out 1024 rows  act legs: A4 0.06653  A8 0.01850
    arm                                                                   bpp       wt      out     W?A4     W?A8      s
    EXL3 K=2                                                            2.012  0.33297  0.20014  0.21044  0.20089    0.1
    EXL3 K=3                                                            3.012  0.16925  0.10115  0.12084  0.10277    0.0
    EXL3 K=4                                                            4.012  0.08580  0.05132  0.08395  0.05453    0.0
    EXL3 K=5                                                            5.012  0.04361  0.02610  0.07145  0.03198    0.0
    EXL3 K=6                                                            6.012  0.02232  0.01333  0.06785  0.02278    0.0
    EXL3 K=8                                                            8.012  0.00600  0.00359  0.06662  0.01885    0.0
    Gridbook FP8-CB K32                                                 4.008  0.09563  0.06706  0.09448  0.06957    2.0
    Gridbook FP8-CB K32 +imatrix                                        4.008  0.09604  0.06689  0.09430  0.06940    2.1
    Gridbook FP8-CB K40                                                 5.008  0.05058  0.03563  0.07550  0.04015    3.1
    Gridbook FP8-CB K40 +imatrix                                        5.008  0.05080  0.03539  0.07533  0.03992    3.4
    Gridbook FP8-CB K48                                                 6.008  0.02561  0.01802  0.06891  0.02580    9.0
    Gridbook FP8-CB K48 +imatrix                                        6.008  0.02571  0.01808  0.06893  0.02586    9.5
    Gridbook FP4-CB K24 (v2 two-tier)                                   3.281  0.15567  0.11054  0.12910  0.11211   15.0
    Gridbook FP4-CB K24 (v2 two-tier) +imatrix                          3.281  0.15682  0.10914  0.12784  0.11072   16.7
    Gridbook FP4-CB K20 (v2 two-tier)                                   2.781  0.21571  0.15390  0.16772  0.15505    6.0
    Gridbook FP4-CB K20 (v2 two-tier) +imatrix                          2.781  0.21738  0.15207  0.16589  0.15322    6.3
    Gridbook FP4-CB K16 (v2 two-tier)                                   2.281  0.30278  0.22154  0.23131  0.22238    5.1
    Gridbook FP4-CB K16 (v2 two-tier) +imatrix                          2.281  0.30521  0.21786  0.22764  0.21869    4.6
    Gridbook FP8-CB K32 +imatrix +LDLQ(gated)                           4.008  0.14686  0.08831  0.11047  0.09019    4.4
    Gridbook FP8-CB K40 +imatrix +LDLQ(gated)                           5.008  0.07799  0.04678  0.08129  0.05029   13.2
    Gridbook FP8-CB K48 +imatrix +LDLQ(gated)                           6.008  0.04052  0.02428  0.07082  0.03051   46.9
    Gridbook FP4-CB K24 (v2 two-tier) +imatrix +LDLQ(gated)             3.281  0.24316  0.14600  0.16025  0.14711   78.4
    Gridbook FP4-CB K20 (v2 two-tier) +imatrix +LDLQ(gated)             2.781  0.33408  0.20108  0.21141  0.20184   22.5
    Gridbook FP4-CB K16 (v2 two-tier) +imatrix +LDLQ(gated)             2.281  0.45744  0.27653  0.28373  0.27702    7.4
    Tessera-4 q256=896 (span2 LUT refit4 scale-wt)                      4.000  0.08842  0.06217  0.09105  0.06487   24.4
    Tessera-4 + LDLQ s=1.0 (whole re-encode)                            4.000  0.09231  0.05806  0.08815  0.06090 1168.8
    Tessera-4 + LDLQ s=1.0 (STITCHED, diagnostic)                       4.000  0.09225  0.05659  0.08720  0.05950    0.0
    Tessera-4 + LDLQ s=1.0 (whole re-encode, S6b inner)                 4.000  0.09334  0.06717  0.09424  0.06961  608.5
    Tessera-4 + LDLQ s=1.0 (STITCHED, diagnostic, S6b inner)            4.000  0.10363  0.06361  0.09185  0.06622    0.0
    Tessera-4 + LDLQ s=3.0 (whole re-encode)                            4.000  0.08980  0.05741  0.08768  0.06026  394.8
    Tessera-4 + LDLQ s=3.0 (STITCHED, diagnostic)                       4.000  0.08974  0.05589  0.08672  0.05883    0.0
    Tessera-8 R=4 per-channel (s=64)                                    4.008  0.08521  0.05996  0.08966  0.06277    2.1
