
== model.layers.2.mlp.down_proj (1024, 3072)  R2048  ladder over table sigma (window_sigma = channel_sigma = sigma)
         sigma   reach   ulp/r  predict        wt         h measured     s
       94.1804     384  0.0833    1.000  0.026461  0.010238    1.000     7
       63.0000     256  0.1250    1.500  0.026508  0.013795    1.348     7
       65.0000     256  0.1250    1.500  0.026463  0.013812    1.349     6
       67.0000     256  0.1250    1.500  0.026406  0.013894    1.357     6
       68.5000     288  0.1111    1.333  0.026596  0.013987    1.366     6
       70.6353     288  0.1111    1.333  0.026532  0.013992    1.367     6
       74.5000     288  0.1111    1.333  0.026436  0.014085    1.376     6
       77.0000     320  0.1000    1.200  0.026553  0.012024    1.174     6
       79.5000     320  0.1000    1.200  0.026482  0.012044    1.176     6
       83.0000     320  0.1000    1.200  0.026406  0.012130    1.185     6
       85.5000     352  0.0909    1.091  0.026495  0.011102    1.084     6
       88.0000     352  0.0909    1.091  0.026438  0.011124    1.087     6
       90.0000     352  0.0909    1.091  0.026395  0.011194    1.093     6
       92.5000     384  0.0833    1.000  0.026494  0.010223    0.999     6
       99.0000     384  0.0833    1.000  0.026370  0.010336    1.010     6
      100.5000     416  0.0769    0.923  0.026534  0.011031    1.078     6
      103.0000     416  0.0769    0.923  0.026501  0.011049    1.079     6
      106.5000     416  0.0769    0.923  0.026469  0.011057    1.080     7
      109.0000     448  0.0714    0.857  0.026505  0.013476    1.316     6
      110.5000     448  0.0714    0.857  0.026496  0.013486    1.317     6
      111.5000     448  0.0714    0.857  0.026473  0.013486    1.317     6
       35.3176     144  0.1111    1.333  0.026532  0.013992    1.367     6
       17.6588      72  0.1111    1.333  0.026532  0.013992    1.367     6
       94.1804     384  0.0833    1.000  0.026461  0.010238    1.000     6

wrote /home/rob/tmp/musefix/out/ts89_ladder.json
