
== model.layers.2.mlp.down_proj (1024, 3072)  R=2048  (R2048 = 8 b/wt)
    arm                 tsigma   reach   ulp/r        wt         h  h ratio     s
    m=1                 94.180     384  0.0833  0.026461  0.010238    1.000    29
    m=0.5               47.090     192  0.0833  0.026461  0.010238    1.000    30
    m=0.75              70.635     288  0.1111  0.026532  0.013992    1.367    32
    m=1.25             117.725     448  0.0714  0.026416  0.013445    1.313    27
    m=1.5              141.271     448  0.0714  0.026326  0.013731    1.341    29
    m=2                188.361     448  0.0714  0.026321  0.014448    1.411    32
    rho=0.5             47.090     192  0.0833  0.026501  0.010183    0.995    34
    rho=0.75            70.635     288  0.1111  0.026526  0.013948    1.362    33
    rho=1.25           117.725     448  0.0714  0.026397  0.013647    1.333    28
    rho=1.5            141.271     448  0.0714  0.026345  0.014042    1.372    31
    rho=2              188.361     448  0.0714  0.026342  0.014924    1.458    30
    m=1 [repeat]        94.180     384  0.0833  0.026461  0.010238    1.000    33

== model.layers.2.mlp.down_proj (1024, 3072)  R=1024  (R1024 = 4 b/wt)
    arm                 tsigma   reach   ulp/r        wt         h  h ratio     s
    m=1                 94.180     384  0.0833  0.073825  0.057774    1.000    14
    m=0.5               47.090     192  0.0833  0.073825  0.057774    1.000    12
    m=0.75              70.635     288  0.1111  0.073800  0.057838    1.001    11
    m=1.25             117.725     448  0.0714  0.073917  0.059861    1.036    11
    m=1.5              141.271     448  0.0714  0.076264  0.066470    1.151    12
    m=2                188.361     448  0.0714  0.087820  0.079221    1.371    12
    rho=0.5             47.090     192  0.0833  0.075224  0.056724    0.982    11
    rho=0.75            70.635     288  0.1111  0.075255  0.056882    0.985    12
    rho=1.25           117.725     448  0.0714  0.074280  0.063413    1.098    10
    rho=1.5            141.271     448  0.0714  0.079960  0.070853    1.226    11
    rho=2              188.361     448  0.0714  0.095725  0.085145    1.474    11
    m=1 [repeat]        94.180     384  0.0833  0.073825  0.057774    1.000    10

wrote /home/rob/tmp/ts89/experiments/results/ts89_repro.json
