
== model.layers.2.mlp.down_proj (1024, 3072)  R=2048  (8 b/wt)
     refit      m     sigma   reach        wt         h  h ratio  rows@clip      s
         0   1.00   94.1804   384.0   0.02656   0.01356   1.0000        166      2
         0   0.75   70.6353   288.0   0.02662   0.01405   1.0367        220      2
         1   1.00   94.1804   384.0   0.02653   0.01239   1.0000        219      2
         1   0.75   70.6353   288.0   0.02660   0.01403   1.1327        215      2
         2   1.00   94.1804   384.0   0.02650   0.01142   1.0000        222      3
         2   0.75   70.6353   288.0   0.02657   0.01402   1.2274        218      3
         4   1.00   94.1804   384.0   0.02646   0.01024   1.0000        222      6
         4   0.75   70.6353   288.0   0.02653   0.01399   1.3667        219      6

wrote /home/rob/tmp/musefix/ts-89-dyadic/experiments/results/ts89_refit.json
